# A2D calibrations for RAF A2D card serial number 004
#  Hand input by J. Wasinger October 2009
#
#    3/13 - 3/17  calibrations done by Dave Allbee - A2D Temps indicated in comments before the line
#  Date              Gain  Bipolar      CH0-off  CH0-slope  CH1-off  CH1-slope  CH2-off  CH2-slope  CH3-off  CH3-slope  CH4-off  CH4-slope  CH5-off  CH5-slope  CH6-off  CH6-slope  CH7-off  CH7-slope
#                           Temp:       54.5 C              54.9 C              54.8 C              55.3 C              54.9 C              55.0 C              54.8 C              54.7 C  
2009 Mar 13 16:26:00	1	1	-0.421974 1.129020  -0.360818 1.126170  -0.190128 1.106770  -0.107877 1.105630  -0.054637 1.105660  -0.202878 1.117820  -0.219247 1.117750  -0.103589 1.098230  
#                           Temp:       55.7 C              56.0 C              56.0 C              55.7 C              55.5 C              55.7 C              55.5 C              55.5 C  
2009 Mar 13 19:57:00	2	0	-0.489652 1.128540  -0.458035 1.125830  -0.256307 1.106480  -0.200751 1.105260  -0.168847 1.105150  -0.299632 1.117240  -0.323214 1.117330  -0.163808 1.097850  
#                           Temp:       55.6 C              55.9 C              56.0 C              56.3 C              56.4 C              56.4 C              56.5 C              56.6 C  
2009 Mar 16 17:33:00	2	1	-0.211906 1.129700  -0.181114 1.126800  -0.095461 1.107400  -0.054877 1.106270  -0.027793 1.105970  -0.102095 1.118090  -0.110451 1.118180  -0.052567 1.098560  
#                           Temp:       54.5 C              54.6 C              54.7 C              54.8 C              54.9 C              54.9 C              54.8 C              54.8 C  
2009 Mar 17 16:35:00	4	0	-0.245393 1.129950  -0.229194 1.127210  -0.128136 1.107820  -0.101269 1.106740  -0.084773 1.106450  -0.149941 1.118490  -0.162119 1.118680  -0.081997 1.099100  
#
#  For use when calibrating instruments  - change the date/time to just prior to calibration - when done comment the line back out.
#   and add the new A2D cal above.
#2009 Mar 18 18:59:00  4      0      0.0       1.0       0.0       1.0       0.0      1.0        0.0      1.0         0.0      1.0       0.0      1.0        0.0      1.0        0.0      1.0
